;MESSAGES;CATEGORY_ID
0;where can i watch the gp;0
1;can someone send link for the race;0
2;guys any free channel for the livestreaming ?;0
3; does someone have a link;0
4;where to watch sky sports live;0
5;can you send me the link thanks!;0
6;guys, i have a question, is it <#758337633356087348> for the links? hmm;0
7;does anyone know a source for 1080p vods?;0
8; anyone got the ol snowball derby;0
9;can someone give me a link thx;0
3104; no it wasnt;1
3105; cause he dont want to;1
3106; what is going on;1
3107; what is happening;1
3108; lol post race 5 second penalty and max wins lol;1
3109; if he pit go to p3;1
3110; cause he ran max off track;1
3111; red bull f up strategy;1
3112; double merc podium 🤔;1
3113; spa doesn't count!;1
3114; on the line;1
